,NEW,P_LRMS_QUEUING,P_LRMS_RUNNING,P_LRMS_SUBMITTING,P_PMGR_QUEUING,P_PMGR_SCHEDULING,TTC,U_AGENT_EXECUTING,U_AGENT_QUEUING,U_AGENT_QUEUING_EXEC,U_AGENT_SCHEDULING,U_UMGR_BINDING,U_UMGR_SCHEDULING,cu_exec_start_stop,experiment,ncore,ncore_active,nhost,npilot,npilot_active,nunit,nunit_done,nunit_failed,sid,util_p_boot,util_p_orte,util_p_setup_1,util_p_setup_2,util_p_term,util_p_total,util_p_uexec,util_u_eprep,util_u_equeue,util_u_exec_app,util_u_exec_cu,util_u_exec_orte,util_u_exec_rp,util_u_pre_exec,util_u_total,util_u_unschedule
rp.session.two.jdakka.017783.0009,8.202100038528442,78.41529989242555,645.9623000621797,18.953200101852413,0.0020999908447265625,0.10479998588562013,1536521318.3813,602.1944999694823,0.006999969482421875,1.8697001934051516,0.11129999160766603,0.008699893951416016,0.3808000087738037,602.1057999134064,exp1,1536,1536,1,1,1,64,64,0,rp.session.two.jdakka.017783.0009,0,1.1374998092651367,0.057200193405151374,1.1393001079559326,0,0,639.7258999347688,0.4824001789093018,1.871600151062012,0,1.951200246810913,0,1.910800218582153,1.1060996055603027,602.197900056839,0
rp.session.two.jdakka.017783.0013,7.9283998012542725,32.333799839019775,642.2987999916077,18.240800142288208,0.003999948501586914,0.10490012168884277,1536524973.0085,602.0485999584198,0.007200002670288086,1.700700044631958,0.11179995536804199,0.0060999393463134766,0.39530014991760254,601.9426000118256,exp3,1536,1536,1,1,1,64,64,0,rp.session.two.jdakka.017783.0013,0,0.3963000774383545,0.05839991569519043,1.1701998710632324,0,0,636.4530999660492,0.49810099601745605,1.7028999328613281,0,1.7786002159118652,0,1.7440998554229736,0.914400577545166,602.0524001121521,0
