,AGENT_EXECUTING,AGENT_EXECUTING_PENDING,AGENT_SCHEDULING,AGENT_SCHEDULING_PENDING,AGENT_STAGING_INPUT,AGENT_STAGING_INPUT_PENDING,AGENT_STAGING_OUTPUT,AGENT_STAGING_OUTPUT_PENDING,CANCELED,DONE,FAILED,NEW,UMGR_SCHEDULING,UMGR_SCHEDULING_PENDING,UMGR_STAGING_INPUT,UMGR_STAGING_INPUT_PENDING,UMGR_STAGING_OUTPUT,UMGR_STAGING_OUTPUT_PENDING,U_AGENT_EXECUTING,U_AGENT_QUEUING,U_AGENT_QUEUING_EXEC,U_AGENT_SCHEDULING,U_UMGR_BINDING,U_UMGR_SCHEDULING,cu_exec_start_stop,experiment,hid,pid,sid,uid,util_u_eprep,util_u_equeue,util_u_exec_app,util_u_exec_cu,util_u_exec_orte,util_u_exec_rp,util_u_pre_exec,util_u_total,util_u_unschedule
54,71.19190001487732,69.85609984397888,69.76059985160828,69.75339984893799,69.75249981880188,68.45239996910095,671.5123999118805,671.5088999271393,,672.5449998378754,,68.11419987678528,68.44339990615845,68.43729996681213,68.45159983634949,68.44579982757568,672.5441999435425,671.5132999420166,600.316999912262,0.007200002670288086,1.3358001708984375,0.09549999237060547,0.0060999393463134766,0.32310009002685547,600.1446001529694,exp3,sdsc.edu,pilot.0000,rp.session.two.jdakka.017783.0013,unit.000054,0.012299776077270508,1.3371000289916992,,0.08990001678466797,,0.055299997329711914,0.013700008392333984,601.6561999320984,
55,71.22909998893738,69.85769987106323,69.76059985160828,69.75339984893799,69.75249981880188,68.45239996910095,671.5107998847961,671.5084998607635,,672.5449998378754,,68.11509990692139,68.44339990615845,68.43729996681213,68.45159983634949,68.44579982757568,672.5441999435425,671.5119998455048,600.2793998718262,0.007200002670288086,1.3714001178741455,0.09710001945495605,0.0060999393463134766,0.32220005989074707,600.1412999629974,exp3,sdsc.edu,pilot.0000,rp.session.two.jdakka.017783.0013,unit.000055,0.01230001449584961,1.3726000785827637,,0.06970000267028809,,0.037400007247924805,0.016299962997436523,601.6531999111176,
56,71.26219987869263,69.85939979553223,69.76059985160828,69.75339984893799,69.75249981880188,68.45239996910095,671.513799905777,671.509299993515,,672.5449998378754,,68.11589980125427,68.44339990615845,68.43729996681213,68.45159983634949,68.44579982757568,672.5441999435425,671.5146999359131,600.2471001148224,0.007200002670288086,1.4028000831604004,0.0987999439239502,0.0060999393463134766,0.32140016555786133,600.1178998947144,exp3,sdsc.edu,pilot.0000,rp.session.two.jdakka.017783.0013,unit.000056,0.005899906158447266,1.4040000438690186,,0.06999993324279785,,0.046500205993652344,0.017299890518188477,601.654000043869,
57,71.28759980201721,69.8610999584198,69.76059985160828,69.75339984893799,69.75249981880188,68.45239996910095,671.6102998256683,671.6098999977112,,672.5449998378754,,68.11679983139038,68.44339990615845,68.43729996681213,68.45159983634949,68.44579982757568,672.5441999435425,671.6126999855042,600.322300195694,0.007200002670288086,1.426499843597412,0.10050010681152344,0.0060999393463134766,0.32050013542175293,600.1077001094818,exp3,sdsc.edu,pilot.0000,rp.session.two.jdakka.017783.0013,unit.000057,0.014600038528442383,1.427799940109253,,0.06939983367919922,,0.04630017280578613,0.02070021629333496,601.7504999637604,
58,71.32699990272522,69.8627998828888,69.76059985160828,69.75339984893799,69.75249981880188,68.45239996910095,671.6143000125885,671.6106998920441,,672.5449998378754,,68.11759996414185,68.44339990615845,68.43729996681213,68.45159983634949,68.44579982757568,672.5441999435425,671.6153998374939,600.2836999893188,0.007200002670288086,1.4642000198364258,0.10220003128051758,0.0060999393463134766,0.3197000026702881,600.1333000659943,exp3,sdsc.edu,pilot.0000,rp.session.two.jdakka.017783.0013,unit.000058,0.005199909210205078,1.4656000137329102,,0.08899998664855957,,0.0354001522064209,0.016299962997436523,601.7513999938965,
59,71.3514997959137,69.86449980735779,69.76059985160828,69.75339984893799,69.75249981880188,68.45239996910095,671.6130998134613,671.6102998256683,,672.5449998378754,,68.11839985847473,68.44339990615845,68.43729996681213,68.45159983634949,68.44579982757568,672.5441999435425,671.6138999462128,600.2588000297546,0.007200002670288086,1.4869999885559082,0.10389995574951172,0.0060999393463134766,0.31890010833740234,600.1243000030518,exp3,sdsc.edu,pilot.0000,rp.session.two.jdakka.017783.0013,unit.000059,0.005400180816650391,1.48829984664917,,0.05929994583129883,,0.04229998588562012,0.012399911880493164,601.7482998371124,
60,71.3824999332428,69.86719989776611,69.76059985160828,69.75339984893799,69.75249981880188,68.45239996910095,671.7117998600006,671.7112998962402,,672.5449998378754,,68.11929988861084,68.44339990615845,68.43729996681213,68.45159983634949,68.44579982757568,672.5441999435425,671.7127997875214,600.3287999629974,0.007200002670288086,1.5153000354766846,0.10660004615783691,0.0060999393463134766,0.31800007820129395,600.1341998577118,exp3,sdsc.edu,pilot.0000,rp.session.two.jdakka.017783.0013,unit.000060,0.006000041961669922,1.5176000595092773,,0.07669997215270996,,0.03880000114440918,0.018700122833251953,601.8468000888824,
61,71.4139997959137,69.86889982223511,69.76059985160828,69.75339984893799,69.75249981880188,68.45239996910095,671.7132999897003,671.711699962616,,672.5449998378754,,68.1201000213623,68.44339990615845,68.43729996681213,68.45159983634949,68.44579982757568,672.5441999435425,671.7142000198364,600.2977001667023,0.007200002670288086,1.5450999736785889,0.10829997062683105,0.0060999393463134766,0.3171999454498291,600.1431999206543,exp3,sdsc.edu,pilot.0000,rp.session.two.jdakka.017783.0013,unit.000061,0.004400014877319336,1.5463998317718506,,0.08680009841918945,,0.05710005760192871,0.01620006561279297,601.8452999591827,
62,71.44139981269836,69.87069988250732,69.76059985160828,69.75339984893799,69.75249981880188,68.45239996910095,671.8126997947693,671.8121998310089,,674.1337997913361,,68.12089991569519,68.44339990615845,68.43729996681213,68.45159983634949,68.44579982757568,674.1336998939514,671.8137998580933,600.3708000183105,0.007200002670288086,1.57069993019104,0.11010003089904785,0.0060999393463134766,0.31640005111694336,600.1384999752045,exp3,sdsc.edu,pilot.0000,rp.session.two.jdakka.017783.0013,unit.000062,0.004600048065185547,1.5720999240875244,,0.06970000267028809,,0.06369996070861816,0.025500059127807617,601.9433999061584,
63,71.46439981460571,69.87239980697632,69.76059985160828,69.75339984893799,69.75249981880188,68.45239996910095,671.8142998218536,671.8125998973846,,674.1337997913361,,68.1217999458313,68.44339990615845,68.43729996681213,68.45159983634949,68.44579982757568,674.1336998939514,671.8151998519897,600.3482000827789,0.007200002670288086,1.5920000076293945,0.11179995536804199,0.0060999393463134766,0.31550002098083496,600.1538999080658,exp3,sdsc.edu,pilot.0000,rp.session.two.jdakka.017783.0013,unit.000063,0.01940011978149414,1.593400001525879,,0.07800006866455078,,0.03600001335144043,0.017999887466430664,601.9429001808167,
